,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,%Play,Comp%,Comp,ATT,YPA,Yards,TDs,Ints,Att,Rush,TDs,
Carolina Passing,,CAR,13,QB,100.00,68%,372.5,547.6,7.7,4197.3,22.92,16.00,60,198,2.00,
Sam Darnold,1,CAR,13,QB,0.95,68%,353.9,520.3,7.7,4005.4,23.00,15.00,60,198,2.00,
P.J. Walker,2,CAR,13,QB,0.05,57%,15.6,27.4,7.0,191.7,1.15,0.80,0,0,0.00,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Carolina Rushing,,CAR,13,RB,100,400.32,4.2,4.3,1706.5,16.0,0.30,111.76,8.1,7.4,905,5.0
Christian McCaffrey,1,CAR,13,RB,0.70,280.22,4.5,4.4,1231.2,12.0,0.92,102.82,8.8,8.2,843,5.0
Chuba Hubbard,2,CAR,13,RB,0.11,44.04,4.2,4.1,180.3,2.0,0.08,8.94,7.5,6.9,62,0.0
Royce Freeman,3,CAR,13,RB,0.04,16.01,4.1,4.0,63.9,0.0,0.00,0.00,7.1,6.5,0,0.0
Rodney Smith,4,CAR,13,RB,0.00,0.00,3.8,3.7,0.0,0.0,0.00,0.00,7.8,7.2,0,0.0
Sam Darnold,,CAR,13,QB,0.15,60.05,3.4,3.3,197.8,2.0,,,,,,
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Carolina REC WR,,CAR,13,WR,0.01,5.00,6.7,4.3,33.4,0.2,0.60,223.53,13.0,12.6,2909,15.0
D.J. Moore,1,CAR,13,WR,0.01,2.00,7.8,7.7,15.4,0.0,0.41,91.65,13.9,13.6,1245,5.0
Robby Anderson,2,CAR,13,WR,0.01,2.00,5.3,5.2,10.4,0.0,0.36,80.47,12.2,11.9,956,5.0
Terrace Marshall,3,CAR,13,WR,0.00,0.00,8.5,8.4,0.0,0.0,0.20,44.71,13.7,13.4,598,5.0
Brandon Zylstra,4,CAR,13,WR,0.00,1.00,7.7,7.6,7.6,0.0,0.04,8.94,12.7,12.4,111,0.0
Shi Smith,5,CAR,13,WR,0.00,0.00,6.2,6.1,0.0,0.0,0.00,0.00,10.9,10.6,0,0.0
,,,,,,,,,,,,,,,,
Players,RK,Team,BYE,POS,% ATT,ATT,YPA,YPAA,Rush,TDs,%Ctch,Catch,YPC,YPCA,REC,TDs
Carolina REC TE,,CAR,13,TE,0.00,0.00,0.0,4.3,0.0,0.0,0.10,37.25,10.3,10.8,383,3.0
Dan Arnold,1,CAR,13,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.65,24.22,11.7,11.1,268,2.0
Ian Thomas,2,CAR,13,TE,0.00,0.00,8.0,7.9,0.0,0.0,0.35,13.04,9.4,8.8,115,1.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
