Player	Team	Position	Floor	Mean	Ceiling	SD	Risk	VOR	"Drop Off"	Tier	ADP
Marlon Mack	IND	RB	49.1	75.5	105	20.9	5.56	-91.2	1.73	11	167
Justin Jackson	LAC	RB	49.2	73.7	95.9	18.3	5.38	-92.9	0.0225	11	177
Ty Johnson	NYJ	RB	42.6	73.7	109	25.6	6.87	-92.9	0.667	11	209
Damien Williams	CHI	RB	14.7	73	102	31.2	6.76	-93.6	0.34	11	180
Malcolm Brown	MIA	RB	42.8	72.7	88.4	17.4	4.87	-93.9	0.895	11	182
Brian Hill	TEN	RB		71.8				-94.8	1.43	11	
Cole Kmet	CHI	TE	47.7	71.2	102	18	5.18	-24.5	1.81	8	166
Giovani Bernard	TB	RB	48.1	70.4	101	20.9	5.33	-96.2	0.0822	11	149
Darrel Williams	KC	RB	42	70.3	95.2	19.5	4.93	-96.3	0.414	11	159
Rhamondre Stevenson	NE	RB	43.9	69.9	104	24.5	6.49	-96.7	0.0557	11	131
Blake Jarwin	DAL	TE	46.7	69.4	96.8	17.7	4.81	-26.3	1.24	8	173
Jack Doyle	IND	TE	43.6	68.1	93.8	18	5.4	-27.6	0.903	8	255
Randy Bullock	DET	K	68	68	68	0	3.52	-68.6	7	8	
Dawson Knox	BUF	TE	55.2	67.2	84.1	10.4	4.14	-28.5	1.71	8	180
Gerald Everett	SEA	TE	38.4	65.5	84.4	16.6	4.73	-30.2	0.623	8	145
Jordan Akins	HOU	TE	54	64.9	76.4	7.95	3.96	-30.8	0.655	8	
Juwan Johnson	NO	TE	48.1	64.2	85.5	27.3	8.81	-31.5	0.293	8	
Adam Trautman	NO	TE	38.8	63.9	99	23.4	7.14	-31.8	2.45	9	224
Hayden Hurst	ATL	TE	42.6	61.5	83.8	15.2	4.91	-34.2	1.99	9	251
Justin Rohrwasser	FA	K		61				-75.6	12.9	9	
C.J. Uzomah	CIN	TE	36.9	59.5	70.9	13.2	4.79	-36.2	3.63	9	248
O.J. Howard	TB	TE	33.9	55.9	71.2	15.1	4.98	-39.8	0.449	9	241
Aldrick Rosas	NO	K	24.8	48.1	114	39.3	9.82	-88.5	7.65	10	
Mike Badgley	LAC	K	0.903	40.5	86.4	62.2	9.37	-96.1	4.47	10	
Stephen Gostkowski	FA	K		36			4.36	-101	4	10	
